
**********************************************
Contact: Natoms = 1.00000000000e+04, as = 1.000000e+02 * a0, G = 1.085900e+03, G * par = 2.171801e+03
Regular DDI: add = 6.700000e+01 * a0, GD = 1.736905e+02, GD * par = 3.473811e+02, edd = 6.700000e-01
     Dipolar cutoff Scut = 8.416910e+00,

QF = 1: h2 = 1.792281e+03,         q5 = 1.707112e+00

Trap parameters:
GAMMA = 1.000000e+00, NU = 1.000000e+00, LAMBDA = 4.361370e-02
Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 1.3151422150218750e-01, DY = 1.3151422150218750e-01, DZ = 2.2918125546406252e+00, mx = 1.00e+01, my = 1.00e+01, mz = 1.00e+01
      Unit of length: aho = 6.123800e-07 m

Time discretization: NITER = 1000000 (NSNAP = 1000000)
                     DT = 3.459198e-03, mt = 5.00e+00

file ./imag3d-finalpsi.bin
MUREL = 1.000000e-10, MUEND=1.000000e+03

-----------------------------------------------------------------------------------------------
Snap      mu           Kin             Pot            Contact            DDI            QF
-----------------------------------------------------------------------------------------------
135       2.0473614163162503e+00 3.5655669633291570e-01 9.4301105044376077e-01 1.9686975750189775e+00 -1.2209039054794038e+00 7.8241587587305816e-02
136       2.0473789884992839e+00 3.5656573865256191e-01 9.4297833074496817e-01 1.9688214773108379e+00 -1.2209865582090842e+00 7.8249673615856011e-02
137       2.0473965017479565e+00 3.5657445263693621e-01 9.4294600921490934e-01 1.9689449978328750e+00 -1.2210689579367642e+00 7.8257741916782322e-02
138       2.0474139497100734e+00 3.5658284099340631e-01 9.4291409212845478e-01 1.9690680904182758e+00 -1.2211510738300635e+00 7.8265789141407305e-02
139       2.0474313260195576e+00 3.5659090652139303e-01 9.4288258568188343e-01 1.9691907088167866e+00 -1.2212328750005057e+00 7.8273811945051341e-02
140       2.0474486243003946e+00 3.5659865210795366e-01 9.4285149599165030e-01 1.9693128067236503e+00 -1.2213143305228598e+00 7.8281806989111066e-02
141       2.0474658381705053e+00 3.5660608072337030e-01 9.4282082909317932e-01 1.9694343378081871e+00 -1.2213954094542314e+00 7.8289770943094875e-02
142       2.0474829612456222e+00 3.5661319541677855e-01 9.4279059093967410e-01 1.9695552557423146e+00 -1.2214760808531451e+00 7.8297700486620048e-02
143       2.0474999871431101e+00 3.5661999931184041e-01 9.4276078740091840e-01 1.9696755142287290e+00 -1.2215563137983778e+00 7.8305592311365663e-02
144       2.0475169094858070e+00 3.5662649560244569e-01 9.4273142426213452e-01 1.9697950670289002e+00 -1.2216360774076735e+00 7.8313443122985479e-02
145       2.0475337219058085e+00 3.5663268754847705e-01 9.4270250722284699e-01 1.9699138679907402e+00 -1.2217153408562558e+00 7.8321249642974683e-02
146       2.0475504180482322e+00 3.5663857847160957e-01 9.4267404189572968e-01 1.9700318710759788e+00 -1.2217940733950856e+00 7.8329008610495451e-02
147       2.0475669915749228e+00 3.5664417175117591e-01 9.4264603380552525e-01 1.9701490303872358e+00 -1.2218722443690140e+00 7.8336716784158364e-02
148       2.0475834361681970e+00 3.5664947082008569e-01 9.4261848838796880e-01 1.9702653001947183e+00 -1.2219498232345756e+00 7.8344370943757624e-02
149       2.0475997455343879e+00 3.5665447916079945e-01 9.4259141098867050e-01 1.9703806349625097e+00 -1.2220267795775914e+00 7.8351967891961763e-02
